"Sr.No","Memo ID","Service Centre","Dealership","OEM","Region","State","City","Machine","Date of Memo","Due Date","TotalAmount","Month","Status"
1,"AM/BV/933","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:29 AM","10/01/2023 10:29 AM","88500.00","October","PENDING"
2,"AM/BV/932","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:29 AM","10/01/2023 10:29 AM","88500.00","October","PENDING"
3,"AM/BV/931","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:29 AM","10/01/2023 10:29 AM","70800.00","October","PENDING"
4,"AM/BV/930","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:28 AM","10/01/2023 10:28 AM","88500.00","October","PENDING"
5,"AM/BV/929","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:28 AM","10/01/2023 10:28 AM","88500.00","October","PENDING"
6,"AM/BV/928","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:28 AM","10/01/2023 10:28 AM","70800.00","October","PENDING"
7,"AM/BV/927","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:27 AM","10/01/2023 10:27 AM","88500.00","October","PENDING"
8,"AM/BV/926","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:27 AM","10/01/2023 10:27 AM","88500.00","October","PENDING"
9,"AM/BV/925","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:27 AM","10/01/2023 10:27 AM","70800.00","October","PENDING"
10,"AM/BV/924","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:26 AM","10/01/2023 10:26 AM","88500.00","October","PENDING"
11,"AM/BV/923","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:26 AM","10/01/2023 10:26 AM","88500.00","October","PENDING"
12,"AM/BV/922","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:26 AM","10/01/2023 10:26 AM","70800.00","October","PENDING"
13,"AM/BV/921","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:25 AM","10/01/2023 10:25 AM","88500.00","October","PENDING"
14,"AM/BV/920","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:25 AM","10/01/2023 10:25 AM","88500.00","October","PENDING"
15,"AM/BV/919","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:25 AM","10/01/2023 10:25 AM","70800.00","October","PENDING"
16,"AM/BV/918","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:24 AM","10/01/2023 10:24 AM","88500.00","October","PENDING"
17,"AM/BV/917","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:24 AM","10/01/2023 10:24 AM","88500.00","October","PENDING"
18,"AM/BV/916","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:24 AM","10/01/2023 10:24 AM","70800.00","October","PENDING"
19,"AM/BV/915","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:23 AM","10/01/2023 10:23 AM","88500.00","October","PENDING"
20,"AM/BV/914","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:23 AM","10/01/2023 10:23 AM","88500.00","October","PENDING"
21,"AM/BV/913","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:23 AM","10/01/2023 10:23 AM","70800.00","October","PENDING"
22,"AM/BV/912","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:22 AM","10/01/2023 10:22 AM","88500.00","October","PENDING"
23,"AM/BV/911","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:22 AM","10/01/2023 10:22 AM","88500.00","October","PENDING"
24,"AM/BV/910","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:22 AM","10/01/2023 10:22 AM","70800.00","October","PENDING"
